City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Port Elizabeth,ZA,-33.918,25.5701,59.31,91,75,9.22,broken clouds
185,Lata,PT,40.1629,-8.3327,54.91,60,0,2.64,clear sky
186,Ixtapa,MX,20.7,-105.2,73.22,100,100,5.75,overcast clouds
187,Pansoy,PH,13.1825,122.5989,82.63,70,98,4.94,overcast clouds
188,Yarmouth,US,41.7057,-70.2286,60.94,96,100,16.11,mist
189,Oranjemund,NA,-28.55,16.4333,53.33,90,11,10.18,few clouds
190,Anadyr,RU,64.75,177.4833,34.3,86,75,20.13,broken clouds
191,Ust-Uda,RU,54.1742,103.0304,37.53,58,99,4.23,overcast clouds
192,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.63,95,100,5.77,light rain
193,Santa Maria,BR,-29.6842,-53.8069,56.5,72,0,11.5,clear sky
194,Tecoanapa,MX,16.5167,-98.75,78.01,83,8,3.98,clear sky
195,Vardo,NO,70.3705,31.1107,42.78,87,100,9.22,overcast clouds
196,Mahon,ES,39.8885,4.2658,64.96,88,40,5.75,scattered clouds
197,Winneba,GH,5.3511,-0.6231,75.18,93,84,7.31,broken clouds
198,Kavaratti,IN,10.5669,72.642,81.48,76,83,14.54,broken clouds
199,Bossangoa,CF,6.4926,17.4552,68.04,90,100,2.17,overcast clouds
200,Te Anau,NZ,-45.4167,167.7167,35.76,83,75,10.8,broken clouds
201,Camacha,PT,33.0833,-16.3333,67.42,78,20,9.22,few clouds
202,Lakatoro,VU,-16.0999,167.4164,81.19,73,48,15.28,scattered clouds
203,Katobu,ID,-4.9408,122.5276,88.48,58,100,4.38,moderate rain
204,Houston,US,29.7633,-95.3633,74.03,60,0,9.22,clear sky
205,Mantua,IT,45.1667,10.7833,63.64,88,0,1.99,clear sky
206,Phan Thiet,VN,10.9333,108.1,88.21,61,86,12.95,overcast clouds
207,Batticaloa,LK,7.7102,81.6924,84.29,61,100,1.83,overcast clouds
208,Santa Fe,AR,-31.6333,-60.7,64.0,61,3,7.0,light rain
209,Ilulissat,GL,69.2167,-51.1,30.22,51,18,2.3,few clouds
210,Chuy,UY,-33.6971,-53.4616,52.56,92,0,4.38,clear sky
211,Bougouni,ML,11.417,-7.479,74.5,89,72,3.15,broken clouds
212,Pisco,PE,-13.7,-76.2167,59.05,82,20,9.22,few clouds
213,North Bend,US,43.4065,-124.2243,58.24,94,100,3.44,overcast clouds
214,General Roca,AR,-39.0333,-67.5833,57.61,41,69,11.65,broken clouds
215,Mercedes,AR,-34.6515,-59.4307,56.64,88,75,7.29,broken clouds
216,Khromtau,KZ,50.2503,58.4347,41.74,30,52,8.7,broken clouds
217,Sortland,NO,68.6949,15.4162,48.16,92,100,6.87,light rain
218,Waipawa,NZ,-41.4122,175.5153,39.79,96,73,13.04,light rain
219,Leh,IN,34.1667,77.5833,46.67,44,2,4.94,clear sky
220,Nogliki,RU,51.8333,143.1667,38.97,49,19,21.3,few clouds
221,Krasnoshchekovo,RU,51.6708,82.7289,43.23,45,63,4.5,broken clouds
222,Cartagena,CO,10.3997,-75.5144,82.02,89,75,4.61,broken clouds
223,San Patricio,US,28.017,-97.5169,75.85,61,8,6.58,clear sky
224,Molepolole,BW,-24.4066,25.4951,71.74,33,13,9.91,few clouds
225,Zhigalovo,RU,54.8097,105.1578,35.35,59,95,3.42,overcast clouds
226,Amapa,BR,1.0,-52.0,75.11,87,94,4.83,overcast clouds
227,Talca,CL,-35.4333,-71.6667,45.64,94,88,5.01,overcast clouds
228,Yerbogachen,RU,61.2767,108.0108,33.03,57,100,11.7,overcast clouds
229,Borgarnes,IS,64.5383,-21.9206,41.05,87,100,16.42,overcast clouds
230,Cabinda,AO,-5.55,12.2,74.84,89,90,4.36,overcast clouds
231,Makakilo City,US,21.3469,-158.0858,80.92,70,20,13.8,few clouds
232,Bathsheba,BB,13.2167,-59.5167,83.01,78,75,35.68,broken clouds
233,Atar,MR,20.5169,-13.0499,90.3,23,12,10.78,few clouds
234,Yumen,CN,40.2833,97.2,56.53,23,63,9.01,broken clouds
235,Assiniboia,CA,49.6334,-105.9845,58.82,51,6,6.91,clear sky
236,Ojinaga,MX,29.5667,-104.4167,76.15,46,0,8.05,clear sky
237,Christchurch,NZ,-43.5333,172.6333,48.4,53,100,3.44,overcast clouds
238,Punta Alta,AR,-38.8759,-62.0736,54.77,92,100,3.53,moderate rain
239,Ahipara,NZ,-35.1667,173.1667,57.56,82,100,15.52,overcast clouds
240,Klaksvik,FO,62.2266,-6.589,49.12,84,14,34.69,light rain
241,Sosnovo-Ozerskoye,RU,52.5249,111.5418,32.25,43,49,9.55,scattered clouds
242,Naze,JP,28.3667,129.4833,83.32,73,14,6.02,few clouds
243,Balikpapan,ID,-1.2675,116.8289,77.99,100,40,3.44,moderate rain
244,Fort Nelson,CA,58.8053,-122.7002,42.39,75,75,8.05,broken clouds
245,Flinders,AU,-34.5833,150.8552,61.18,85,100,4.0,light rain
246,Merrill,US,45.1805,-89.6835,57.04,92,0,0.0,clear sky
247,Manakara,MG,-22.1333,48.0167,69.24,83,20,7.72,few clouds
248,Northam,GB,51.0333,-4.2167,61.39,98,100,23.67,overcast clouds
249,Envira,BR,-7.3,-70.2167,75.11,75,83,2.77,broken clouds
250,Sur,OM,22.5667,59.5289,83.89,51,37,5.88,scattered clouds
251,Sioux Lookout,CA,50.1001,-91.917,53.67,100,75,2.3,broken clouds
252,Ust-Kuyga,RU,70.0167,135.6,24.73,78,98,3.96,overcast clouds
253,Banjar,ID,-8.19,114.9675,84.76,72,58,3.69,broken clouds
254,Bilibino,RU,68.0546,166.4372,25.16,68,74,5.28,broken clouds
255,Hambantota,LK,6.1241,81.1185,86.34,70,40,10.36,scattered clouds
256,Greystones,IE,53.1408,-6.0631,56.88,93,100,14.54,moderate rain
257,Mogadishu,SO,2.0371,45.3438,78.67,73,40,11.5,scattered clouds
258,Mar Del Plata,AR,-38.0023,-57.5575,55.94,84,0,3.0,clear sky
259,Polewali,ID,-3.4324,119.3435,85.55,72,97,5.55,overcast clouds
260,Touros,BR,-5.1989,-35.4608,74.46,82,71,11.56,broken clouds
261,Vao,NC,-22.6667,167.4833,69.13,60,4,9.55,clear sky
262,Olafsvik,IS,64.8945,-23.7142,41.85,85,100,30.8,overcast clouds
263,Gualdo Tadino,IT,43.2317,12.781,55.09,92,0,2.42,clear sky
264,Kantang,TH,7.4054,99.5156,88.99,99,20,3.44,few clouds
265,Galle,LK,6.0367,80.217,80.55,82,100,13.96,moderate rain
266,Cayenne,GF,4.9333,-52.3333,75.24,94,0,2.3,clear sky
267,Vilhena,BR,-12.7406,-60.1458,70.0,85,23,3.36,few clouds
268,Saint George,US,37.1041,-113.5841,79.39,28,0,10.36,clear sky
269,Mahajanga,MG,-15.7167,46.3167,68.02,77,0,3.44,clear sky
270,Lai,TD,9.3952,16.2989,69.75,87,99,3.0,overcast clouds
271,Bilara,IN,26.1792,73.7056,87.13,32,0,5.37,clear sky
272,Manzhouli,CN,49.6,117.4333,39.09,28,10,10.29,clear sky
273,Gat,IL,31.61,34.7642,74.39,100,0,2.01,clear sky
274,Port Hardy,CA,50.6996,-127.4199,59.18,88,75,4.61,broken clouds
275,Saldanha,ZA,-33.0117,17.9442,42.85,72,63,7.67,broken clouds
276,Homer,US,59.6425,-151.5483,53.49,70,100,11.99,overcast clouds
277,Ugoofaaru,MV,5.6667,73.0,81.59,77,100,16.49,overcast clouds
278,Albania,AL,41.0,20.0,53.51,63,0,7.56,clear sky
279,Santa Cruz,BO,-17.8,-63.1667,76.46,73,39,10.36,scattered clouds
280,Qasigiannguit,GL,68.8193,-51.1922,30.45,79,11,4.52,few clouds
281,Joshimath,IN,30.5667,79.5667,73.36,40,0,4.97,clear sky
282,Igra,RU,57.5558,53.0547,43.7,75,100,9.46,overcast clouds
283,Wanning,CN,18.8003,110.3967,84.97,73,10,12.01,clear sky
284,Nara,JP,34.6851,135.8049,70.97,73,98,6.96,overcast clouds
285,Norman Wells,CA,65.282,-126.8329,37.44,87,75,11.5,broken clouds
286,Nikolskoye,RU,59.7035,30.7861,45.81,96,82,3.67,light rain
287,Harindanga,IN,22.0383,88.3214,86.18,72,84,11.34,broken clouds
288,Thompson,CA,55.7435,-97.8558,39.36,87,75,0.0,broken clouds
289,Dingle,PH,10.9995,122.6711,87.78,67,95,10.07,overcast clouds
290,Wolsztyn,PL,52.1155,16.1171,51.93,80,100,7.78,overcast clouds
291,Skjervoy,NO,70.0311,20.9714,48.2,76,100,17.11,overcast clouds
292,Kodiak,US,57.79,-152.4072,53.11,82,100,25.32,moderate rain
293,Vestmannaeyjar,IS,63.4427,-20.2734,41.52,75,97,40.11,overcast clouds
294,Zaraza,VE,9.3503,-65.3245,73.24,98,59,3.89,broken clouds
295,Laguna,US,38.421,-121.4238,78.78,57,0,5.75,clear sky
296,Ust-Nera,RU,64.5667,143.2,19.45,81,80,6.98,broken clouds
297,Nuuk,GL,64.1835,-51.7216,36.21,80,100,12.66,overcast clouds
298,Zhovkva,UA,50.0583,23.9726,44.04,88,70,7.72,broken clouds
299,Santiago,CL,-33.4569,-70.6483,55.54,66,75,8.05,broken clouds
300,Sungairaya,ID,0.7,108.9,79.61,80,100,3.74,overcast clouds
301,Kjollefjord,NO,70.9457,27.3465,44.65,87,75,9.22,broken clouds
302,Bat Khela,PK,34.6167,71.9714,78.76,34,0,2.75,clear sky
303,Bajil,YE,15.0584,43.2851,87.58,54,64,4.09,broken clouds
304,Iqaluit,CA,63.7506,-68.5145,33.53,93,100,4.61,light rain
305,Meulaboh,ID,4.1363,96.1285,74.86,94,100,4.74,overcast clouds
306,Abu Dhabi,AE,24.4667,54.3667,86.02,55,0,6.91,clear sky
307,Ondjiva,AO,-17.0667,15.7333,66.04,17,0,1.86,clear sky
308,Verkhneuralsk,RU,53.8769,59.2106,39.67,49,100,6.24,overcast clouds
309,Gouyave,GD,12.1646,-61.7296,81.37,83,20,4.61,few clouds
310,Richards Bay,ZA,-28.783,32.0377,66.94,75,74,7.2,broken clouds
311,Berlevag,NO,70.8578,29.0864,42.8,87,40,3.44,scattered clouds
312,Tobermory,CA,45.2501,-81.6665,58.77,70,49,6.76,scattered clouds
313,Kichera,RU,55.9375,110.0997,31.3,48,24,2.28,few clouds
314,Novyy Svit,UA,47.8059,38.0211,47.48,73,0,6.17,clear sky
315,Sola,VU,-13.8833,167.55,81.18,76,23,17.22,few clouds
316,Fortuna,US,40.5982,-124.1573,58.93,82,66,1.99,broken clouds
317,Bumbuna,SL,9.05,-11.7333,70.16,99,88,1.92,overcast clouds
318,Torres,BR,-29.3353,-49.7269,54.82,82,1,5.14,clear sky
319,Qaqortoq,GL,60.7167,-46.0333,34.95,100,100,7.67,snow
320,Port Hedland,AU,-20.3167,118.5667,84.25,37,0,12.66,clear sky
321,Nome,US,64.5011,-165.4064,42.87,81,0,17.27,clear sky
322,Namibe,AO,-15.1961,12.1522,64.62,89,76,4.92,broken clouds
323,Russell,US,32.3502,-85.1999,63.68,100,0,0.0,clear sky
324,Abha,SA,18.2164,42.5053,60.62,29,0,0.0,clear sky
325,Pribyslav,CZ,49.5768,15.7386,47.95,91,78,6.87,broken clouds
326,Sinnamary,GF,5.3833,-52.95,77.58,88,8,7.9,clear sky
327,Kasongo-Lunda,CD,-6.4667,16.8167,67.46,96,40,1.41,scattered clouds
328,Sorland,NO,67.667,12.6934,49.86,80,100,20.02,overcast clouds
329,Guerrero Negro,MX,27.9769,-114.0611,70.05,80,3,12.64,clear sky
330,Grindavik,IS,63.8424,-22.4338,43.27,81,75,31.07,broken clouds
331,Kragero,NO,58.8693,9.4149,58.44,91,100,12.77,overcast clouds
332,Panguna,PG,-6.3164,155.4848,80.56,63,94,3.69,light rain
333,Poroshkovo,UA,48.6683,22.7533,40.01,91,58,2.3,broken clouds
334,Goderich,CA,43.7501,-81.7165,50.92,93,8,2.3,clear sky
335,Rudbar,AF,30.15,62.6,76.55,17,0,11.18,clear sky
336,Kamwenge,UG,0.1866,30.4539,61.0,98,93,0.56,overcast clouds
337,Sai Buri,TH,6.7013,101.6168,85.71,65,90,5.14,overcast clouds
338,Moose Factory,CA,51.2585,-80.6094,46.4,93,100,2.3,overcast clouds
339,La Orilla,MX,17.9833,-102.2333,78.17,86,88,4.27,overcast clouds
340,Porto Nacional,BR,-10.7081,-48.4172,80.6,39,3,2.95,clear sky
341,Leningradskiy,RU,69.3833,178.4167,21.02,85,18,5.82,few clouds
342,Mudgee,AU,-32.5943,149.5871,54.79,95,100,12.77,moderate rain
343,Huanuni,BO,-18.2667,-66.85,37.65,23,8,7.02,clear sky
344,Weyburn,CA,49.6668,-103.8511,55.62,67,13,5.75,few clouds
345,Holesov,CZ,49.3333,17.5783,42.73,91,90,4.56,overcast clouds
346,Bijar,IR,35.8668,47.6051,58.51,24,0,2.57,clear sky
347,Kenora,CA,49.8167,-94.4337,63.57,77,100,6.91,overcast clouds
348,Adrar,MR,20.5022,-10.0711,88.05,18,31,12.71,scattered clouds
