City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Axim,GH,75.04,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
497,Pochutla,MX,76.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
503,Tombouctou,ML,87.1,clear sky,20.0,-3.0,
504,Grand-Lahou,CI,75.29,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
508,Lodwar,KE,79.99,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
510,Kalmunai,LK,85.73,overcast clouds,7.4167,81.8167,VS Villa
513,Alvorada,BR,85.66,scattered clouds,-12.48,-49.1247,Cristal Plaza Hotel
522,Port Keats,AU,88.86,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
528,Kerema,PG,86.04,overcast clouds,-7.9631,145.7785,Frena Lodge
530,Itamaraca,BR,78.85,overcast clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
534,Matara,LK,82.72,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
538,Wajir,KE,75.16,broken clouds,1.7471,40.0573,Mahatallah Hotel
543,Chandbali,IN,86.54,overcast clouds,20.7833,86.7667,Sabitri Bhavan
544,Tari,NG,78.93,overcast clouds,12.4086,4.4914,
545,Marawi,PH,80.74,broken clouds,7.9986,124.2928,Derogongan Residence
547,Tiruvallur,IN,83.84,heavy intensity rain,13.15,79.9167,Aarya Rooms
548,Noumea,NC,76.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
551,Payo,ID,87.31,overcast clouds,-3.7508,103.6372,Mess keban agung
552,Kampong Chhnang,KH,87.15,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
561,Nizwa,OM,84.36,few clouds,22.9333,57.5333,Orient Apartments
563,Mirzapur,IN,80.56,overcast clouds,25.15,82.5833,Hotel Yash Inn
565,Acarau,BR,77.16,broken clouds,-2.8856,-40.12,castelo pizzaria
575,Dagumba-An,PH,77.68,broken clouds,8.1531,124.5908,Barangay Besigan Cagayan De Oro
580,Porto Murtinho,BR,75.7,few clouds,-21.6989,-57.8825,Hotel Pantanal
581,Puerto Carreno,CO,76.19,moderate rain,6.189,-67.4859,Casa Hotel Victoria
582,Sorong,ID,82.63,broken clouds,-0.8833,131.25,Waigo Splash Hotel
583,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
590,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
594,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
598,Agadez,NE,80.11,clear sky,19.75,10.25,
601,Ragandang,PH,86.47,scattered clouds,6.6639,124.1206,
602,Keningau,MY,87.37,overcast clouds,5.3378,116.1602,Sabindo Hotel
608,Gigmoto,PH,85.01,overcast clouds,13.7796,124.39,Cj's Travellers Inn
609,Manali,IN,84.29,heavy intensity rain,13.1667,80.2667,Sarathy Lodge
611,Jieshi,CN,85.14,few clouds,22.8134,115.8257,Yuehai Hotel
613,Dong Hoi,VN,82.89,overcast clouds,17.4833,106.6,Nam Long Hotel
617,Marzuq,YE,76.42,broken clouds,14.4,46.4667,حيد القفلة
622,Dalbandin,PK,80.06,clear sky,28.8947,64.4101,Sanjrani House
625,Lashio,MM,83.08,few clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
626,Marsh Harbour,BS,79.2,few clouds,26.5412,-77.0636,Abaco Beach Resort
627,Paluan,PH,85.8,overcast clouds,13.416,120.4623,Mom's Bed and Breakfast
631,Pangkalanbuun,ID,88.25,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
636,Kulhudhuffushi,MV,80.96,overcast clouds,6.6221,73.07,Haajy Guest House 1
638,Aden,YE,85.17,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
643,Eyl,SO,78.19,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
645,Sao Felix Do Xingu,BR,75.76,clear sky,-6.6447,-51.995,Rio Xingu Camping
653,Acajutla,SV,78.22,broken clouds,13.5928,-89.8275,CASA DE LA PERRA
655,Doha,QA,84.18,haze,25.2867,51.5333,Mövenpick Doha
657,Rantauprapat,ID,77.7,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
661,Barabai,ID,80.85,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
